Source	Value
9/19/2018 9:00:03 PM	8.33
9/19/2018 9:00:23 PM	23.36
9/19/2018 10:00:31 PM	4.64
9/19/2018 10:00:32 PM	6.04
9/19/2018 11:00:00 PM	4.16
9/19/2018 11:00:04 PM	5.45
9/20/2018 12:00:14 AM	13.77
9/20/2018 12:00:27 AM	5.33
9/20/2018 1:00:05 AM	9.77
9/20/2018 1:00:25 AM	20.43
9/20/2018 2:00:05 AM	4.64
9/20/2018 2:00:35 AM	5.87
9/20/2018 3:00:07 AM	10.68
9/20/2018 4:00:20 AM	6.67
9/20/2018 4:00:44 AM	7.26
9/20/2018 5:00:09 AM	8.23
9/20/2018 6:00:18 AM	6.29
9/20/2018 6:00:38 AM	5.86
9/20/2018 7:00:06 AM	10.68
9/20/2018 7:00:28 AM	10.78
9/20/2018 8:00:31 AM	6.69
9/20/2018 8:00:39 AM	13.56
9/20/2018 9:00:15 AM	13.88
9/20/2018 9:00:30 AM	6.56
9/20/2018 10:00:06 AM	8.65
9/20/2018 10:00:16 AM	6.29
9/20/2018 11:00:02 AM	10.74
9/20/2018 11:00:17 AM	7.05
9/20/2018 12:00:27 PM	13.55
9/20/2018 1:00:05 PM	4.72
9/20/2018 1:00:28 PM	13.87
9/20/2018 2:00:02 PM	8.66
9/20/2018 2:00:13 PM	3.60
9/20/2018 3:00:21 PM	15.57
9/20/2018 3:00:36 PM	7.04
9/20/2018 4:00:05 PM	10.19
9/20/2018 4:00:10 PM	4.43
9/20/2018 5:00:14 PM	15.78
9/20/2018 5:00:26 PM	4.72
9/20/2018 6:00:13 PM	3.60
9/20/2018 6:00:29 PM	15.28
9/20/2018 7:00:02 PM	3.83
9/20/2018 7:00:12 PM	15.54
9/20/2018 8:00:10 PM	3.98
9/20/2018 8:00:43 PM	9.20
9/20/2018 8:00:44 PM	9.25
9/20/2018 9:00:01 PM	4.53
9/20/2018 9:00:21 PM	8.72
9/20/2018 10:00:06 PM	8.17
9/20/2018 10:00:10 PM	7.74
9/20/2018 11:00:07 PM	3.57
9/20/2018 11:00:20 PM	12.99
9/21/2018 12:00:31 AM	3.84
9/21/2018 12:00:56 AM	3.98
9/21/2018 1:00:30 AM	4.51
9/21/2018 1:00:39 AM	4.09
9/21/2018 2:00:01 AM	6.09
9/21/2018 2:00:46 AM	6.16
9/21/2018 3:00:07 AM	11.04
9/21/2018 3:00:26 AM	6.35
9/21/2018 4:00:14 AM	7.45
9/21/2018 4:00:15 AM	6.07
9/21/2018 5:00:19 AM	4.04
9/21/2018 5:00:24 AM	7.05
9/21/2018 6:00:08 AM	6.29
9/21/2018 6:00:34 AM	6.09
9/21/2018 7:00:45 AM	11.01
9/21/2018 7:00:46 AM	10.14
9/21/2018 8:00:02 AM	7.47
9/21/2018 8:00:04 AM	13.47
9/21/2018 9:00:17 AM	15.11
9/21/2018 9:00:29 AM	7.04
9/21/2018 10:00:14 AM	6.11
9/21/2018 10:00:15 AM	5.58
