INSTNAME       ,DB_ID     ,HOSTNAME                      ,        ID,TM               ,      INST,       DUR,       CPU,   LOADAVG,   AAS_CPU,RSRCMGRPCT,  OSCPUPCT,  OSCPUSYS,   OSCPUIO
tesprrn1       ,3956548928,example.com          ,     21713,10/05/18 11:00:38,         1,      60.1,        28,     12.54, 14.660599,         0,52.3592821,6.01837216,.017084621
tesprrn1       ,3956548928,example.com          ,     21748,10/06/18 22:00:21,         1,      60.1,        28,      5.04,2.29225735,         0,8.18663339,2.79792608,.024453292
tesprrn1       ,3956548928,example.com          ,     21776,10/08/18 02:00:01,         1,      60.1,        28,      4.66,2.56816972,.000029712,9.17200499,3.04800531,.022710166
tesprrn1       ,3956548928,example.com          ,     21784,10/08/18 10:00:02,         1,     60.08,        28,       4.9,4.59461304,         0,16.4093323,3.40439865,.020160491
tesprrn1       ,3956548928,example.com          ,     21610,10/01/18 04:00:02,         1,     60.08,        28,      6.84,2.64433842,         0,9.44406578,2.64690905,.036744601
tesprrn1       ,3956548928,example.com          ,     21631,10/02/18 01:00:15,         1,      60.1,        28,      6.04,3.39062673,9.9041E-06,12.1093713,3.34580263, .02061049
tesprrn1       ,3956548928,example.com          ,     21642,10/02/18 12:00:19,         1,     60.13,        28,     12.49,11.6508149,         0,41.6100531,6.15617081,.018797513
tesprrn1       ,3956548928,example.com          ,     21650,10/02/18 20:00:10,         1,     60.12,        28,     16.34,   12.5743,         0,44.9082142,9.11253911, .01346588
tesprrn1       ,3956548928,example.com          ,     21658,10/03/18 04:00:02,         1,      60.1,        28,     11.66,7.25281475,         0,25.9029098,5.68391966,.028583314
tesprrn1       ,3956548928,example.com          ,     21667,10/03/18 13:00:05,         1,        60,        28,     28.73,13.4390889,         0, 47.996746,7.57928571,.017331349
tesprrn1       ,3956548928,example.com          ,     21668,10/03/18 14:00:05,         1,     60.12,        28,      19.1,12.3201192,         0,44.0004258,8.13676779,.022763278
tesprrn1       ,3956548928,example.com          ,     21684,10/04/18 06:00:46,         1,     60.12,        28,     13.22,11.3161769,         0,40.4149174,6.57349796,.017297715
tesprrn1       ,3956548928,example.com          ,     21703,10/05/18 01:00:42,         1,      60.1,        28,     22.58,18.5644814,.000029712,66.3016896,14.9374059,.014816576
tesprrn1       ,3956548928,example.com          ,     21662,10/03/18 08:00:27,         1,     60.08,        28,      9.09,7.43285437,         0,26.5459085,4.31353279,.017713493
tesprrn1       ,3956548928,example.com          ,     21670,10/03/18 16:00:19,         1,     60.12,        28,      12.6, 11.102606,         0,39.6521644,7.56674522,.015792705
tesprrn1       ,3956548928,example.com          ,     21677,10/03/18 23:00:04,         1,      60.1,        28,      7.13,5.89400998,         0,21.0500357,5.87360352,.019946914
tesprrn1       ,3956548928,example.com          ,     21590,09/30/18 08:00:07,         1,      60.1,        28,      5.86,4.97290349,         0,17.7603696,3.95557999,.021244355
